strategy,doses,infections,deaths
children first,0,858405.1715240808,8206.898321820025
children first,50000,791218.2086593013,7985.870303811698
children first,100000,723111.8473561995,7738.7684569704925
children first,150000,657808.7842098871,7476.664699107478
children first,200000,601967.1488806731,7229.925714853203
children first,300000,469713.5544625573,6209.132745410203
adults 20-64 first,0,858405.1715240808,8206.898321820025
adults 20-64 first,50000,794382.0047088234,7789.448672142173
adults 20-64 first,100000,729484.7704990271,7340.248176661906
adults 20-64 first,150000,664018.5529027028,6856.975451223543
adults 20-64 first,200000,598553.7101885247,6339.228982266159
adults 20-64 first,300000,471939.10673017066,5220.5929596671485
65+ first,0,858405.1715240808,8206.898321820025
65+ first,50000,808800.598354036,6089.959330114094
65+ first,100000,762761.5405645635,4156.334268407394
65+ first,150000,720781.5056595195,2422.37723623903
65+ first,200000,672872.6868434341,1413.302481698433
65+ first,300000,548996.3499375902,1054.5984054244234
everyone equally,0,858405.1715240808,8206.898321820025
everyone equally,50000,795923.5123729524,7522.50289665516
everyone equally,100000,732242.2824839922,6832.274675374574
everyone equally,150000,667230.1274239514,6136.539461092399
everyone equally,200000,600740.1706929144,5435.85457557658
everyone equally,300000,462661.7421112264,4023.7087946827983
