R0,I0,n_reps,N,extinction_simulated,extinction_theory
1.5,1,400,2000,0.66,0.6666666666666666
1.5,2,400,2000,0.4925,0.4444444444444444
1.5,3,400,2000,0.3175,0.2962962962962962
1.5,4,400,2000,0.215,0.19753086419753083
1.5,5,400,2000,0.1575,0.13168724279835387
2.5,1,400,2000,0.375,0.4
2.5,2,400,2000,0.1675,0.16000000000000003
2.5,3,400,2000,0.0775,0.06400000000000002
2.5,4,400,2000,0.025,0.025600000000000005
2.5,5,400,2000,0.005,0.010240000000000003
4.0,1,400,2000,0.25,0.25
4.0,2,400,2000,0.08,0.0625
4.0,3,400,2000,0.01,0.015625
4.0,4,400,2000,0.005,0.00390625
4.0,5,400,2000,0.0,0.0009765625
