network,strategy,coverage,attack_rate_mean,attack_rate_sd
Erdos-Renyi,random,0.0,0.8041750000000001,0.01920956107885095
Erdos-Renyi,random,0.05,0.73345,0.01610810518439641
Erdos-Renyi,random,0.1,0.633375,0.14607179876600698
Erdos-Renyi,random,0.15,0.597475,0.019532344969306687
Erdos-Renyi,random,0.2,0.5106499999999999,0.03632568324419921
Erdos-Renyi,random,0.3,0.284525,0.16594715986849864
Erdos-Renyi,degree,0.0,0.8041750000000001,0.01920956107885095
Erdos-Renyi,degree,0.05,0.6778500000000001,0.018144957252201235
Erdos-Renyi,degree,0.1,0.555175,0.02978708436112609
Erdos-Renyi,degree,0.15,0.34545,0.13661624123222338
Erdos-Renyi,degree,0.2,0.14655,0.12145866743356293
Erdos-Renyi,degree,0.3,0.01305,0.014499455525167688
Erdos-Renyi,betweenness,0.0,0.8041750000000001,0.01920956107885095
Erdos-Renyi,betweenness,0.05,0.6609500000000001,0.15304917510395147
Erdos-Renyi,betweenness,0.1,0.5413500000000001,0.13021258933395277
Erdos-Renyi,betweenness,0.15,0.41152500000000003,0.10469950422141705
Erdos-Renyi,betweenness,0.2,0.2592,0.09586138567305344
Erdos-Renyi,betweenness,0.3,0.018875000000000003,0.022039960717320995
Watts-Strogatz,random,0.0,0.570975,0.19922444860270697
Watts-Strogatz,random,0.05,0.3533,0.19950705039645777
Watts-Strogatz,random,0.1,0.33120000000000005,0.17065573224292357
Watts-Strogatz,random,0.15,0.14165,0.10373816990258138
Watts-Strogatz,random,0.2,0.098,0.07528594612682055
Watts-Strogatz,random,0.3,0.028149999999999998,0.027208793083351408
Watts-Strogatz,degree,0.0,0.570975,0.19922444860270697
Watts-Strogatz,degree,0.05,0.19745000000000001,0.1840849274827132
Watts-Strogatz,degree,0.1,0.14529999999999998,0.08157518327479128
Watts-Strogatz,degree,0.15,0.06287499999999999,0.04264908063425715
Watts-Strogatz,degree,0.2,0.033775,0.024355089709069893
Watts-Strogatz,degree,0.3,0.020725,0.014265780735732621
Watts-Strogatz,betweenness,0.0,0.570975,0.19922444860270697
Watts-Strogatz,betweenness,0.05,0.30169999999999997,0.18999344864051443
Watts-Strogatz,betweenness,0.1,0.10474999999999998,0.08190583489272107
Watts-Strogatz,betweenness,0.15,0.049824999999999994,0.04139008112808519
Watts-Strogatz,betweenness,0.2,0.021575,0.013265780077049054
Watts-Strogatz,betweenness,0.3,0.019525,0.011609291877403068
Barabasi-Albert,random,0.0,0.743575,0.018307515712923675
Barabasi-Albert,random,0.05,0.689425,0.022254671301478294
Barabasi-Albert,random,0.1,0.5884250000000001,0.13906655685980765
Barabasi-Albert,random,0.15,0.5621750000000001,0.02233434633732962
Barabasi-Albert,random,0.2,0.49494999999999995,0.02498362621693193
Barabasi-Albert,random,0.3,0.38245,0.02675271752059671
Barabasi-Albert,degree,0.0,0.743575,0.018307515712923675
Barabasi-Albert,degree,0.05,0.29700000000000004,0.16709845821204367
Barabasi-Albert,degree,0.1,0.027625,0.03390655696562478
Barabasi-Albert,degree,0.15,0.0075000000000000015,0.006429782676199709
Barabasi-Albert,degree,0.2,0.007150000000000001,0.005057823538575503
Barabasi-Albert,degree,0.3,0.0039000000000000007,0.001283498508395172
Barabasi-Albert,betweenness,0.0,0.743575,0.018307515712923675
Barabasi-Albert,betweenness,0.05,0.32845,0.13781307897598874
Barabasi-Albert,betweenness,0.1,0.03475,0.047641893329295804
Barabasi-Albert,betweenness,0.15,0.013750000000000002,0.015019723874397888
Barabasi-Albert,betweenness,0.2,0.008550000000000002,0.005515289752373086
Barabasi-Albert,betweenness,0.3,0.00465,0.0017252002172135513
