kind,start_day,strength,peak_infectious,peak_day,cumulative_deaths,cumulative_infections,attack_rate,vaccinated
isolation,0.0,0.0,134503.70805828852,120.0,8941.076039269194,894107.603926919,0.894107603926919,0.0
isolation,0.0,0.025,94559.69475692873,135.0,8303.6869760704,830368.6976070387,0.8303686976070387,0.0
isolation,0.0,0.05,64602.40283950775,154.0,7536.235006169836,753623.500616983,0.753623500616983,0.0
isolation,0.0,0.075,42381.79618268645,180.0,6651.423801529785,665142.3801530265,0.6651423801530265,0.0
isolation,0.0,0.1,26172.52597917751,216.0,5660.202138218719,566020.2138600696,0.5660202138600696,0.0
isolation,0.0,0.125,14719.600073285399,269.0,4571.869041238718,457186.9267258458,0.45718692672584577,0.0
isolation,0.0,0.15,7061.154470856498,356.0,3393.892197802108,339397.666389464,0.339397666389464,0.0
isolation,0.0,0.175,2451.171119602029,531.0,2020.4689720479064,203285.3046327165,0.2032853046327165,0.0
isolation,0.0,0.2,131.75745952535104,730.0,95.90020890444347,9950.249590696249,0.009950249590696248,0.0
isolation,0.0,0.225,10.0,0.0,3.208460575872799,321.44990041083423,0.00032144990041083424,0.0
isolation,0.0,0.25,10.0,0.0,1.0992155396855037,109.9227483998333,0.0001099227483998333,0.0
isolation,0.0,0.275,10.0,0.0,0.6880769682150703,68.80770015818813,6.880770015818812e-05,0.0
isolation,0.0,0.3,10.0,0.0,0.5166008598787653,51.66008600092591,5.166008600092591e-05,0.0
isolation,10.0,0.0,134503.70805828852,120.0,8941.076039269194,894107.603926919,0.894107603926919,0.0
isolation,10.0,0.025,94557.08810291947,133.0,8303.701675571361,830370.1675571356,0.8303701675571356,0.0
isolation,10.0,0.05,64620.555744846555,150.0,7536.278758749624,753627.8758749621,0.753627875874962,0.0
isolation,10.0,0.075,42382.09193088328,173.0,6651.519160017511,665151.9160017864,0.6651519160017864,0.0
isolation,10.0,0.1,26175.44673130108,203.0,5660.386772176202,566038.6772395093,0.5660386772395093,0.0
isolation,10.0,0.125,14724.377600696424,249.0,4572.212904440191,457221.30171100126,0.4572213017110013,0.0
isolation,10.0,0.15,7067.579693325558,322.0,3394.7947268703474,339483.13936473115,0.3394831393647311,0.0
isolation,10.0,0.175,2458.1585613364437,464.0,2091.367662665896,209635.91237061477,0.20963591237061477,0.0
isolation,10.0,0.2,264.8774763707517,730.0,238.69061762721665,24590.75927512696,0.02459075927512696,0.0
isolation,10.0,0.225,14.698050140268693,10.0,10.353190348019686,1037.2670785514827,0.0010372670785514827,0.0
isolation,10.0,0.25,14.698062716584097,10.0,3.6826993101588323,368.27434356448623,0.00036827434356448625,0.0
isolation,10.0,0.275,14.698060607224052,10.0,2.362585548235761,236.2585686070102,0.0002362585686070102,0.0
isolation,10.0,0.3,14.69805493016051,10.0,1.8111140902324392,181.11140908301925,0.00018111140908301924,0.0
isolation,20.0,0.0,134503.70805828852,120.0,8941.076039269194,894107.603926919,0.894107603926919,0.0
isolation,20.0,0.025,94537.85585074342,132.0,8303.736839103018,830373.6839103039,0.8303736839103039,0.0
isolation,20.0,0.05,64616.97846666772,146.0,7536.383417649605,753638.3417649614,0.7536383417649614,0.0
isolation,20.0,0.075,42397.00311296669,166.0,6651.747253665158,665174.7253665371,0.6651747253665371,0.0
isolation,20.0,0.1,26185.316382771394,192.0,5660.828369967945,566082.8370103535,0.5660828370103534,0.0
isolation,20.0,0.125,14738.397555075016,231.0,4573.03437308094,457303.4435096639,0.4573034435096639,0.0
isolation,20.0,0.15,7082.621995689817,292.0,3396.4533299883706,339647.12758081144,0.33964712758081145,0.0
isolation,20.0,0.175,2474.886039719853,407.0,2119.6861804957584,212190.4302014004,0.21219043020140038,0.0
isolation,20.0,0.2,331.02101520231435,698.0,432.89243863892074,44180.276118720685,0.044180276118720684,0.0
isolation,20.0,0.225,38.76289536804258,20.0,26.906469358887108,2695.4610851256257,0.002695461085125626,0.0
isolation,20.0,0.25,38.76289160062218,20.0,9.833682010851398,983.3807947387393,0.0009833807947387393,0.0
isolation,20.0,0.275,38.76288771561251,20.0,6.360650027793016,636.0650460947725,0.0006360650460947724,0.0
isolation,20.0,0.3,38.762844781413065,20.0,4.904401647912048,490.44016499530187,0.0004904401649953019,0.0
isolation,30.0,0.0,134503.70805828852,120.0,8941.076039269194,894107.603926919,0.894107603926919,0.0
isolation,30.0,0.025,94572.775782985,130.0,8303.829861083375,830382.9861083381,0.8303829861083382,0.0
isolation,30.0,0.05,64636.153300703256,143.0,7536.660263172096,753666.0263172121,0.7536660263172121,0.0
isolation,30.0,0.075,42419.320022397114,159.0,6652.350526254485,665235.0526254654,0.6652350526254655,0.0
isolation,30.0,0.1,26215.346455760715,182.0,5661.996041708026,566199.604179124,0.566199604179124,0.0
isolation,30.0,0.125,14772.556633180053,213.0,4575.205053263419,457520.5086908319,0.4575205086908319,0.0
isolation,30.0,0.15,7122.2984119066,263.0,3400.6224587952474,340063.1039242127,0.3400631039242127,0.0
isolation,30.0,0.175,2519.145414029419,349.0,2139.8316118255993,214076.79470306827,0.21407679470306826,0.0
isolation,30.0,0.2,379.3218516245045,508.0,649.944263780009,65687.57698807678,0.06568757698807677,0.0
isolation,30.0,0.225,102.59005020345148,30.0,67.66292495556344,6776.419708177194,0.006776419708177194,0.0
isolation,30.0,0.25,102.59002623432205,30.0,25.912738016787692,2591.307046191264,0.002591307046191264,0.0
isolation,30.0,0.275,102.58998580967405,30.0,16.88571323753669,1688.5714528080298,0.0016885714528080298,0.0
isolation,30.0,0.3,102.5900541476605,30.0,13.064394020643372,1306.439402732671,0.001306439402732671,0.0
isolation,40.0,0.0,134503.70805828852,120.0,8941.076039269194,894107.603926919,0.894107603926919,0.0
isolation,40.0,0.025,94583.02303118045,128.0,8304.075965098455,830407.5965098486,0.8304075965098486,0.0
isolation,40.0,0.05,64687.16884434384,139.0,7537.392537167858,753739.2537167844,0.7537392537167844,0.0
isolation,40.0,0.075,42474.53765852905,152.0,6653.945642851128,665394.5642851209,0.6653945642851209,0.0
isolation,40.0,0.1,26292.919645960654,171.0,5665.081558330483,566508.1558380347,0.5665081558380347,0.0
isolation,40.0,0.125,14864.736412460163,196.0,4580.933375965081,458093.3393526816,0.4580933393526816,0.0
