kind,start_day,strength,peak_infectious,peak_day,cumulative_deaths,cumulative_infections,attack_rate,vaccinated
lockdown,0.0,0.0,134503.70805828852,120.0,8941.076039269194,894107.603926919,0.894107603926919,0.0
lockdown,0.0,0.075,134398.76901961808,126.0,8940.61786508411,894061.7865084101,0.8940617865084102,0.0
lockdown,0.0,0.15,134417.30818816804,133.0,8940.522491341426,894052.2491341461,0.8940522491341462,0.0
lockdown,0.0,0.225,134426.4260718587,140.0,8940.577561680831,894057.7561680852,0.8940577561680851,0.0
lockdown,0.0,0.3,134411.07584080868,147.0,8940.678263856054,894067.8263856063,0.8940678263856063,0.0
lockdown,0.0,0.375,134456.85289918963,155.0,8940.77800505657,894077.8005056599,0.8940778005056599,0.0
lockdown,0.0,0.45,134454.94999633793,163.0,8940.859895226642,894085.9895226635,0.8940859895226635,0.0
lockdown,0.0,0.525,134480.4423224041,172.0,8940.92097227189,894092.0972271903,0.8940920972271903,0.0
lockdown,0.0,0.6,134436.68569428843,181.0,8940.96390944708,894096.3909447073,0.8940963909447073,0.0
lockdown,0.0,0.675,134481.93408119396,192.0,8940.99295263124,894099.2952631264,0.8940992952631264,0.0
lockdown,0.0,0.75,134462.51813549388,203.0,8941.0121428721,894101.2142872101,0.8941012142872101,0.0
lockdown,0.0,0.825,134473.18724888944,217.0,8941.02470223113,894102.4702231148,0.8941024702231148,0.0
lockdown,0.0,0.9,134497.71269022848,233.0,8941.032960567503,894103.296056752,0.894103296056752,0.0
lockdown,10.0,0.0,134503.70805828852,120.0,8941.076039269194,894107.603926919,0.894107603926919,0.0
lockdown,10.0,0.075,134299.3734211957,126.0,8939.84955120061,893984.9551200626,0.8939849551200626,0.0
lockdown,10.0,0.15,134254.83581971924,133.0,8939.567065071347,893956.7065071345,0.8939567065071344,0.0
lockdown,10.0,0.225,134237.5253242151,140.0,8939.691383214433,893969.1383214429,0.8939691383214429,0.0
lockdown,10.0,0.3,134296.87588966466,147.0,8939.949048228686,893994.9048228724,0.8939949048228724,0.0
lockdown,10.0,0.375,134367.55895455723,154.0,8940.213927101982,894021.3927101981,0.8940213927101981,0.0
lockdown,10.0,0.45,134404.90403698778,162.0,8940.437276586365,894043.7276586381,0.8940437276586382,0.0
lockdown,10.0,0.525,134390.90572553102,170.0,8940.607922097639,894060.7922097645,0.8940607922097645,0.0
lockdown,10.0,0.6,134399.60513559627,179.0,8940.730748588314,894073.0748588325,0.8940730748588325,0.0
lockdown,10.0,0.675,134439.81723898998,189.0,8940.815810678347,894081.5810678351,0.8940815810678351,0.0
lockdown,10.0,0.75,134457.99354344734,200.0,8940.87333762213,894087.3337622121,0.894087333762212,0.0
lockdown,10.0,0.825,134459.2838454679,213.0,8940.9118266028,894091.1826602785,0.8940911826602785,0.0
lockdown,10.0,0.9,134454.9713107973,228.0,8940.937630910108,894093.7630910117,0.8940937630910116,0.0
lockdown,20.0,0.0,134503.70805828852,120.0,8941.076039269194,894107.603926919,0.894107603926919,0.0
lockdown,20.0,0.075,133983.0782517776,126.0,8937.859331752068,893785.9331752049,0.8937859331752049,0.0
lockdown,20.0,0.15,133878.1062272346,133.0,8937.101003508502,893710.1003508484,0.8937101003508484,0.0
lockdown,20.0,0.225,133899.36404290947,140.0,8937.419544796372,893741.9544796351,0.8937419544796351,0.0
lockdown,20.0,0.3,134019.29930364736,147.0,8938.09593545897,893809.5935458976,0.8938095935458976,0.0
lockdown,20.0,0.375,134142.47313902754,154.0,8938.794619492719,893879.46194927,0.89387946194927,0.0
lockdown,20.0,0.45,134240.30449246027,162.0,8939.384920505623,893938.4920505624,0.8939384920505624,0.0
lockdown,20.0,0.525,134262.85349330018,170.0,8939.836358972394,893983.6358972414,0.8939836358972414,0.0
lockdown,20.0,0.6,134304.44531936446,179.0,8940.161462737251,894016.1462737244,0.8940161462737244,0.0
lockdown,20.0,0.675,134369.7055624348,189.0,8940.386678969007,894038.6678969003,0.8940386678969003,0.0
lockdown,20.0,0.75,134404.1686566334,200.0,8940.539024925672,894053.9024925688,0.8940539024925688,0.0
lockdown,20.0,0.825,134417.9870417335,213.0,8940.64096971708,894064.0969717106,0.8940640969717105,0.0
lockdown,20.0,0.9,134419.55550041771,228.0,8940.709326145483,894070.9326145464,0.8940709326145464,0.0
lockdown,30.0,0.0,134503.70805828852,120.0,8941.076039269194,894107.603926919,0.894107603926919,0.0
lockdown,30.0,0.075,133177.82867937032,126.0,8932.765770225575,893276.5770225583,0.8932765770225584,0.0
lockdown,30.0,0.15,132892.78566155993,133.0,8930.692219779621,893069.2219779642,0.8930692219779641,0.0
